note,count
C#6 2.0,7
4.7.10 2.0,10
1.3.7 2.0,3
1.3.7 4.0,1
2.6.9 2.0,22
G5 3.0,14
C5 2.0,55
D3 4.0,9
10.1 2.0,22
B-3 4.0,6
7.9.2 1.0,2
9.2 2.0,10
D5 4.0,2
4.9 2.0,3
10 4.0,10
2.8 4.0,2
D4 3.0,3
B3 4.0,10
9 3.0,3
7.9.1 1.0,10
7.9.1.2 1.0,1
8.1 0.5,38
C#6 1.0,22
5.8.11 2.0,4
10.2.5 5.0,1
4.7.10.0 2.0,2
4.7.10.0 1.0,22
4.5.9.0 5.0,1
4.5.9.0 1.0,3
9.10.2.5 2.0,1
9.10.2.5 1.0,3
2.4.7.10 5.0,1
2.4.7.10 1.0,3
1.4.7.9 2.0,2
1.4.7.9 1.0,10
D6 5/3,1
G5 5/3,1
0.4.7 2.0,16
C6 5/3,6
1.5 0.5,71
B1 0.5,14
2.5.9 4.0,3
C#5 4.0,6
C#4 4.0,2
C#5 2.0,36
5.8 2.0,18
8.9 0.5,1
9.11 0.5,11
rest 233.25,1
C#3 4.0,11
G3 4.0,10
F#3 4.0,4
A2 4.0,4
D2 4.0,4
9.1.4 2.0,23
D2 2.0,10
7.9.2 0.5,5
rest 132.0,2
rest 165.0,1
rest 502/3,1
rest 2723/3,1
rest 907.75,2
rest 908.0,2
rest 182.0,1
rest 965.25,1
rest 2896/3,1
rest 965.5,2
2.6.9 1.5,11
rest 801.75,2
rest 2399/3,1
rest 784.25,1
A4 1.75,1
E4 4.0,4
6.8 0.25,64
A5 1.75,4
C#5 1.5,19
E3 1.5,31
D3 1.5,7
F#2 1.0,24
1.2 0.25,8
B4 1.5,24
6.8.9 0.25,1
4.7.9 0.25,9
2.6.8 0.25,1
11.1.4 0.25,1
4.7.8 0.25,5
A3 2.5,1
B5 3.25,1
G#4 4/3,1
4.8.11 2.0,11
8.9 1.0,3
1.2 1.0,17
rest 178/3,2
4.6 1.0,19
rest 59.25,1
rest 59.5,1
11.1 1.0,7
rest 175/3,1
2.7 2.0,13
F6 7/3,1
8.11.2 2.0,14
1.3 1.0,18
7.9 1.0,200
6.7 1.0,27
